■ 개봉일람_월별,,,,,,,,,,,,,,,,,
- 조회일: 2021-03-18,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020~2020   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
238,마농,로랑 펠리,,(주) 인스터 글로벌,(주) 인스터 글로벌,2020-03-31,개봉영화,장편,미국,5,"7,894,300",336,"6,654,700",284,공연,12세이상관람가,일반영화
239,산티아고의 흰 지팡이,이종은,제이리미디어,,제이리미디어,2020-03-19,개봉영화,장편,한국,21,"7,799,460","1,006","5,792,060",708,다큐멘터리,전체관람가,독립/예술영화
240,아이리시맨,마틴 스코세이지,,,판씨네마(주),2019-11-20,개봉영화,장편,미국,68,"7,747,740","1,554","3,533,820",694,범죄,청소년관람불가,독립/예술영화
241,체이싱,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2020-04-23,개봉영화,장편,러시아,60,"7,693,060","1,005","1,927,500",254,액션,15세이상관람가,일반영화
242,시체들의 새벽: 컨테이젼,헥터 헤르난데즈 비센스,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-04-09,개봉영화,장편,불가리아,52,"7,651,860",875,"2,690,920",298,공포(호러),청소년관람불가,일반영화
243,조쉬 그로반: 브리지스 뉴욕 매디슨스퀘어가든 콘서트,,,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,2020-05-20,개봉영화,장편,영국,20,"6,988,500",395,"2,947,000",165,공연,전체관람가,일반영화
244,O.J. 심슨 사건 파일,다니엘 패런즈,,(주)스마일이엔티,(주)스마일이엔티,2020-08-05,개봉영화,장편,미국,50,"6,906,000","1,374","5,166,000","1,026",스릴러,청소년관람불가,일반영화
245,하이큐!! 땅 VS 하늘,미츠나카 스스무,,(주)에이원엔터테인먼트,(주)삼백상회,2020-01-23,개봉영화,옴니버스,일본,82,"6,671,700",873,"4,143,800",512,애니메이션,전체관람가,일반영화
246,래미의 드래곤월드 구출작전,웨이밍 황,,와이드 릴리즈(주),와이드 릴리즈(주),2020-07-16,개봉영화,장편,중국,65,"6,067,340",779,"634,500",74,애니메이션,전체관람가,일반영화
247,프리저베이션홀 재즈밴드,"T.G. 헤링턴,대니 클린치",,(주)에스와이코마드,(주)에스와이코마드,2020-04-02,개봉영화,장편,미국,30,"6,017,260",707,"3,967,000",453,다큐멘터리,전체관람가,독립/예술영화
248,남산의 부장들,우민호,(주)하이브미디어코프,,(주)쇼박스,2020-01-22,개봉영화,장편,한국,"1,659","5,904,520",723,"2,560,260",315,드라마,15세이상관람가,일반영화
249,선생님과 길고양이,후카가와 요시히로,,찬란,찬란,2020-04-09,개봉영화,장편,일본,53,"5,860,820",730,"3,248,080",401,코미디,전체관람가,독립/예술영화
250,결혼 이야기,노아 바움백,,,판씨네마(주),2019-11-27,개봉영화,장편,영국,83,"5,783,100","1,174","3,189,820",650,멜로/로맨스,15세이상관람가,독립/예술영화
251,모탈: 레전드 오브 토르,안드레 외브레달,,주식회사 풍경소리,주식회사 풍경소리,2020-07-09,개봉영화,장편,기타,28,"5,742,080",808,"3,986,100",590,액션,12세이상관람가,독립/예술영화
252,아틸라,,,일미디어,일미디어,2020-04-03,개봉영화,장편,이탈리아,5,"5,650,000",204,"4,092,000",134,공연,15세이상관람가,일반영화
253,펠리칸 베이커리,,,(주)영화사 진진,(주)영화사 진진,2020-04-02,개봉영화,장편,일본,28,"5,492,140",665,"3,780,140",449,다큐멘터리,전체관람가,독립/예술영화
254,초능력소년사건,채수응,주식회사 스튜디오척,,디에이치 컴퍼니,2020-05-28,개봉영화,장편,중국,12,"5,305,920",580,"4,932,420",520,드라마,12세이상관람가,독립/예술영화
255,윤희에게,임대형,영화사 달리기,,(주)리틀빅픽쳐스,2019-11-14,개봉영화,장편,한국,317,"5,241,000",743,"3,522,500",481,멜로/로맨스,12세이상관람가,독립/예술영화
256,마농 레스코,,,일미디어,일미디어,2020-08-03,개봉영화,장편,이탈리아,5,"5,240,650",159,"3,665,000",113,공연,12세이상관람가,일반영화
257,쉬 네버 다이,오드리 커밍스,,주식회사 더쿱,주식회사 더쿱,2020-04-02,개봉영화,장편,캐나다,41,"5,224,700",631,"2,154,520",268,스릴러,청소년관람불가,독립/예술영화
258,장마,"이용남,음정현",영화사 무명,,영화사 무명,2020-02-27,개봉영화,장편,한국,1,"5,031,000","1,007","5,014,000",990,다큐멘터리,전체관람가,독립/예술영화
259,동아시아반일무장전선,김미례,감 픽쳐스,,아이 엠,2020-08-20,개봉영화,장편,한국,23,"4,940,500",606,"3,719,000",429,다큐멘터리,15세이상관람가,독립/예술영화
260,기도의 막이 내릴 때,후쿠자와 카츠오,,(주)오렌지옐로우하임,노바엔터테인먼트,2020-05-14,개봉영화,장편,일본,33,"4,874,540",601,"2,697,300",323,드라마,15세이상관람가,독립/예술영화
261,백년의 기억,피에르 올리비에 프랑수아,,전국예술영화관협회,"전국예술영화관협회,에무 시네마 앤 카페",2020-06-11,개봉영화,장편,프랑스,6,"4,863,500",713,"2,825,000",343,다큐멘터리,전체관람가,독립/예술영화
262,늙은 부부이야기: 스테이지 무비,신태연,예술의전당,,예술의전당,2020-08-19,개봉영화,장편,한국,16,"4,396,500",432,"2,862,000",303,공연,12세이상관람가,독립/예술영화
263,쓰루 더 파이어,,,브릿지웍스 엔터테인먼트(주),(주)영화사오원,2020-07-23,개봉영화,장편,프랑스,23,"4,341,760",602,"2,946,300",395,드라마,15세이상관람가,독립/예술영화
264,이별식당,임왕태,"(주)미스터로맨스,HATCH FILM ,서울예술대학",,"(주)에스와이코마드,아이 엠",2020-08-27,개봉영화,장편,한국,24,"4,210,560",530,"2,881,400",352,뮤지컬,12세이상관람가,독립/예술영화
265,여름날,오정석,오전필름,,영화배급협동조합 씨네소파,2020-08-20,개봉영화,장편,한국,12,"3,517,980",424,"2,642,980",305,드라마,전체관람가,독립/예술영화
266,테우리,이난,(주)26컴퍼니,,(주)26컴퍼니,2020-07-09,개봉영화,장편,한국,16,"3,505,980",419,"2,894,980",343,드라마,15세이상관람가,독립/예술영화
267,슈퍼펫,벤 스미스,,예지림엔터테인먼트,예지림엔터테인먼트,2020-08-13,개봉영화,장편,영국,5,"3,500,000",700,0,0,애니메이션,전체관람가,독립/예술영화
268,루비,박한진,(주)펠리스,,주식회사 더쿱,2020-07-30,개봉영화,장편,한국,12,"3,262,900",380,"2,915,400",329,드라마,12세이상관람가,독립/예술영화
269,메기,이옥섭,"국가인권위원회,2X9HD",,"(주)엣나인필름,CGV아트하우스",2019-09-26,개봉영화,장편,한국,155,"3,250,000",414,"2,501,000",301,미스터리,15세이상관람가,독립/예술영화
270,퀸 오브 아이스,안네 세비스퀴,,(주)엣나인필름,(주)엣나인필름,2020-03-26,개봉영화,장편,노르웨이,36,"3,109,840",419,"1,746,880",239,드라마,15세이상관람가,독립/예술영화
271,두 교황,페르난도 메이렐레스,,,판씨네마(주),2019-12-11,개봉영화,장편,미국,66,"3,049,820",596,"1,767,280",337,드라마,12세이상관람가,독립/예술영화
272,하트,정가영,비치사,,필름다빈,2020-02-27,개봉영화,장편,한국,11,"2,946,500",368,"2,407,500",287,드라마,청소년관람불가,독립/예술영화
273,시체들의 새벽,조지 A. 로메로,,(주)피터팬픽쳐스,(주)피터팬픽쳐스,2020-04-15,개봉영화,장편,미국,8,"2,891,200",327,"2,658,300",298,공포(호러),15세이상관람가,독립/예술영화
274,페인 앤 글로리,페드로 알모도바르,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-02-05,개봉영화,장편,스페인,198,"2,711,920",312,"2,508,420",284,드라마,청소년관람불가,독립/예술영화
275,국도극장,전지희,명필름랩,,명필름랩,2020-05-29,개봉영화,장편,한국,7,"2,581,000",337,"1,401,000",171,드라마,12세이상관람가,독립/예술영화
276,16세의 사운드트랙,힐러리 셰익스피어,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2020-07-02,개봉영화,장편,영국,19,"2,460,400",286,"1,502,900",165,코미디,12세이상관람가,독립/예술영화
277,낮손님,박세민,박세민무비프로덕션,,시네마 뉴원,2020-04-15,개봉영화,장편,한국,19,"2,404,500",345,"2,037,000",286,코미디,청소년관람불가,일반영화
278,보체크,윌리엄 켄트리지,,(주) 인스터 글로벌,(주) 인스터 글로벌,2020-08-18,개봉영화,장편,미국,6,"2,317,900",100,"1,852,100",80,공연,12세이상관람가,일반영화
279,래미와 친구들: 푸른푸른 초원의 위기,웨이밍 황,,와이드 릴리즈(주),와이드 릴리즈(주),2020-07-30,개봉영화,장편,중국,18,"2,252,600",304,"374,100",47,애니메이션,전체관람가,일반영화
280,문신을 한 신부님,얀 코마사,,알토미디어(주),알토미디어(주),2020-02-13,개봉영화,장편,폴란드,57,"2,228,360",257,"1,531,360",177,드라마,15세이상관람가,독립/예술영화
281,더 워닝,다니엘 칼파소로,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2020-05-06,개봉영화,장편,스페인,32,"2,068,500",448,"720,500",140,스릴러,15세이상관람가,독립/예술영화
282,더 테러리스트,,,(주)스톰픽쳐스코리아,(주)드림팩트엔터테인먼트,2020-02-26,개봉영화,장편,기타,17,"2,041,000",274,"1,638,600",214,범죄,15세이상관람가,독립/예술영화
283,데드워터,,,(주)제이브로,(주)제이브로,2020-05-28,개봉영화,장편,미국,10,"2,000,000",400,0,0,스릴러,15세이상관람가,독립/예술영화
284,이웃의 아내,아론 하비,,(주)제이브로,(주)제이브로,2020-05-26,개봉영화,장편,미국,10,"2,000,000",400,0,0,스릴러,15세이상관람가,독립/예술영화
285,맨슨 패밀리,앤드류 존스,,(주)영화사 안다미로,(주)영화사 안다미로,2020-06-15,개봉영화,장편,영국,1,"1,942,000","1,864","1,941,000","1,863",공포(호러),15세이상관람가,일반영화
286,"시, 나리오",김동원,썸머트리 주식회사,,(주)노바이앤티,2020-07-02,개봉영화,장편,한국,18,"1,928,000",243,"939,500",104,드라마,15세이상관람가,독립/예술영화
287,무협: 더 코드,조니 우,,,(주)영화사 안다미로,2020-06-22,개봉영화,장편,미국,1,"1,888,000","1,822","1,887,000","1,821",액션,15세이상관람가,일반영화
288,사냥의 시간: 데스 게임,아론 머티스,,,(주)영화사 안다미로,2020-06-22,개봉영화,장편,미국,1,"1,869,000","1,799","1,868,000","1,798",공포(호러),청소년관람불가,일반영화
289,이 멋진 세계에 축복을! 붉은 전설,카나사키 타카오미,,(주)애니플러스,(주)애니플러스,2020-02-06,개봉영화,장편,일본,57,"1,855,400",213,"1,855,400",213,애니메이션,15세이상관람가,일반영화
290,"집에 돌아오면, 언제나 아내가 죽은 척을 하고있다",리 토시오,,(주)미디어캐슬,(주)영화사 그램,2020-02-20,개봉영화,장편,일본,34,"1,746,920",211,"1,544,920",181,멜로/로맨스,12세이상관람가,독립/예술영화
291,잠자는 숲 속의 미녀,마리우스 프티파,,에스디시코리아 주식회사,에스디시코리아 주식회사,2020-05-02,개봉영화,장편,영국,3,"1,617,000",76,"960,000",39,공연,전체관람가,일반영화
292,벨빌 캅,라시드 부샤렙,,(주)누리픽쳐스,(주)누리픽쳐스,2020-06-25,개봉영화,장편,프랑스,5,"1,600,500",202,"1,042,000",131,범죄,15세이상관람가,독립/예술영화
293,덩케르크 이스케이프,,,,(주)박수엔터테인먼트,2020-08-20,개봉영화,장편,영국,13,"1,572,900",217,"686,400",87,전쟁,15세이상관람가,독립/예술영화
294,브레이크,,,주식회사 콘텐츠플레이,주식회사 콘텐츠플레이,2020-05-20,개봉영화,장편,러시아,5,"1,500,000",300,0,0,스릴러,15세이상관람가,독립/예술영화
295,일 트로바토레,프랑코 제피렐리,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2020-01-12,개봉영화,장편,독일,5,"1,485,000",56,"618,000",25,공연,전체관람가,일반영화
296,좋은 여자,전규환,(주)트리필름,,(주)트리필름,2020-05-28,개봉영화,장편,한국,5,"1,217,000",163,"968,500",125,드라마,청소년관람불가,독립/예술영화
297,아르코라이브 의자 고치는 여인,,한국문화예술위원회,,(주)아이디어랩,2020-05-20,개봉영화,장편,한국,6,"1,205,500",102,"1,029,500",86,공연,12세이상관람가,일반영화
298,누드모델의 목적,,(주)케이알씨지,,(주)케이알씨지,2020-04-03,개봉영화,장편,한국,10,"1,183,000",244,"1,141,000",229,멜로/로맨스,청소년관람불가,일반영화
299,환각섹스,,(주)케이알씨지,,(주)케이알씨지,2020-04-03,개봉영화,장편,한국,10,"1,183,000",244,"1,141,000",229,멜로/로맨스,청소년관람불가,일반영화
300,블라인드 파트너,이로운,(주)케이알씨지,,(주)케이알씨지,2020-03-19,개봉영화,장편,한국,18,"1,181,000",242,"1,141,000",229,멜로/로맨스,청소년관람불가,일반영화
301,스폰서 X,에로핑,비스킷미디어,,(주)케이알씨지,2020-03-27,개봉영화,장편,한국,18,"1,181,000",242,"1,141,000",229,멜로/로맨스,청소년관람불가,일반영화
302,새엄마의 목적,이로운,(주)케이알씨지,,(주)케이알씨지,2020-03-19,개봉영화,장편,한국,17,"1,180,000",241,"1,141,000",229,멜로/로맨스,청소년관람불가,일반영화
303,아크나텐,,,(주) 인스터 글로벌,(주) 인스터 글로벌,2020-07-07,개봉영화,장편,미국,5,"1,171,300",50,"829,300",35,공연,전체관람가,일반영화
304,사마에게,"와드 알-카팁,에드워드 와츠",,(주)엣나인필름,(주)엣나인필름,2020-01-23,개봉영화,장편,영국,75,"1,169,860",125,"1,136,860",121,다큐멘터리,15세이상관람가,독립/예술영화
305,좀비파이터,임지환,스토리웨이브픽쳐스,,(주)미로스페이스,2020-04-16,개봉영화,장편,한국,5,"1,137,000",136,"801,000",88,공포(호러),15세이상관람가,독립/예술영화
306,불륜의 세계,신성진,선셋 시네마,,선셋 시네마,2020-07-10,개봉영화,장편,한국,20,"965,000",169,"660,000",123,기타,청소년관람불가,일반영화
307,구멍동서,이상수,선셋 시네마,,선셋 시네마,2020-07-20,개봉영화,장편,한국,20,"961,000",169,"660,000",123,기타,청소년관람불가,일반영화
308,이모의유혹3,원명준,스마일컨텐츠,,스마일컨텐츠,2020-05-29,개봉영화,장편,한국,20,"946,000",169,"669,000",125,멜로/로맨스,청소년관람불가,일반영화
309,어린 그녀,정태준,컨텐츠레드,,(주)컨텐츠 빌리지,2020-04-09,개봉영화,장편,한국,20,"943,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
310,젊은엄마5,정도수,유한회사 영화사 반딧불,,유한회사 영화사 반딧불,2020-04-08,개봉영화,장편,한국,20,"943,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
311,주인집 딸,계장혁,모히또필름,,(주)컨텐츠 빌리지,2020-05-07,개봉영화,장편,한국,21,"942,000",170,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
312,옆집소녀4,원명준,스마일컨텐츠,,스마일컨텐츠,2020-07-03,개봉영화,장편,한국,19,"940,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
313,극장판 원피스 스탬피드,,,대원미디어(주),(주)스마일이엔티,2020-02-13,개봉영화,장편,일본,372,"939,960",97,"931,960",96,애니메이션,전체관람가,일반영화
314,그녀의 모유는 백신,정미나,(주)담화,,(주)담화,2020-08-21,개봉영화,장편,한국,20,"937,000",170,"663,000",125,성인물(에로),청소년관람불가,일반영화
315,몽정 : 파는여자,왕지방,(주)나우콘텐츠,,(주)나우콘텐츠,2020-04-09,개봉영화,장편,한국,20,"936,000",169,"663,000",125,멜로/로맨스,청소년관람불가,일반영화
316,주부남편의 발기찬 바깥생활,정미나,(주)담화,,(주)담화,2020-07-31,개봉영화,장편,한국,20,"935,000",169,"663,000",125,성인물(에로),청소년관람불가,일반영화
317,막내 처제 2,정진호,모히또필름,,(주)컨텐츠 빌리지,2020-03-12,개봉영화,장편,한국,20,"933,000",169,"666,000",126,멜로/로맨스,청소년관람불가,일반영화
318,여선생3,최성은,(주)영화사히트,,(주)영화사히트,2020-03-20,개봉영화,장편,한국,20,"933,000",169,"666,000",126,기타,청소년관람불가,일반영화
319,어린 처제 4,계장혁,모히또필름,,(주)컨텐츠 빌리지,2020-03-19,개봉영화,장편,한국,20,"931,000",169,"666,000",126,멜로/로맨스,청소년관람불가,일반영화
320,아르코 라이브 완창판소리프로젝트2 강산제수궁가,,한국문화예술위원회,,한국문화예술위원회,2020-04-14,개봉영화,장편,한국,7,"917,000",77,"198,000",17,공연,전체관람가,일반영화
321,딸의 친구 5,계장혁,모히또필름,,(주)컨텐츠 빌리지,2020-04-23,개봉영화,장편,한국,20,"883,000",167,"604,000",122,멜로/로맨스,청소년관람불가,일반영화
322,새아가,계장혁,모히또필름,,(주)컨텐츠 빌리지,2020-04-23,개봉영화,장편,한국,20,"883,000",167,"604,000",122,멜로/로맨스,청소년관람불가,일반영화
323,카잔자키스,,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2020-01-30,개봉영화,장편,기타,21,"877,060",100,"877,060",100,드라마,12세이상관람가,독립/예술영화
324,죽이는 여자,애슐리 해밀턴,,(주)영화사 안다미로,(주)영화사 안다미로,2020-08-23,개봉영화,장편,미국,1,"871,000",823,"871,000",823,공포(호러),청소년관람불가,일반영화
325,할로윈: 살인마 잭,앤드류 존스,,(주)영화사 안다미로,(주)영화사 안다미로,2020-07-21,개봉영화,장편,영국,1,"869,000",821,"869,000",821,공포(호러),15세이상관람가,일반영화
326,기도하는 남자,강동헌,"영화사 연,클리어마인드스튜디오(주)",,(주)랠리버튼,2020-02-20,개봉영화,장편,한국,34,"850,500",139,"482,500",73,드라마,15세이상관람가,독립/예술영화
327,블러드: 궁금한 이야기,,,(주)영화사 안다미로,(주)영화사 안다미로,2020-06-15,개봉영화,장편,영국,1,"842,000",818,"841,000",817,공포(호러),15세이상관람가,일반영화
328,피그테일:피그테일과 거미소녀 그리고 레슬링,"카이야 토시히사,유아사 마사아키",,(주)에이원엔터테인먼트,(주)에이원엔터테인먼트,2020-07-09,개봉영화,장편,일본,12,"823,000",105,"639,000",81,애니메이션,15세이상관람가,독립/예술영화
329,사내정사: 은밀한 회의실,이두희,두리컴,,두리컴,2020-04-24,개봉영화,장편,한국,20,"821,000",165,"604,000",122,드라마,청소년관람불가,일반영화
330,카르멘,,,에스디시코리아 주식회사,에스디시코리아 주식회사,2020-06-03,개봉영화,장편,영국,6,"820,000",37,"482,000",20,공연,12세이상관람가,일반영화
331,미스터 주: 사라진 VIP,김태윤,리양필름(주),,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",2020-01-22,개봉영화,장편,한국,692,"750,000",150,"450,000",90,코미디,12세이상관람가,일반영화
332,설화,최형렬,(주)유비네트워크,,(주)유비네트워크,2020-04-16,개봉영화,장편,한국,4,"743,000",129,"300,000",60,스릴러,15세이상관람가,독립/예술영화
333,기묘한 이야기: 리플레이,,,(주)영화사 안다미로,(주)영화사 안다미로,2020-08-23,개봉영화,장편,미국,1,"738,000",696,"738,000",696,어드벤처,15세이상관람가,일반영화
334,장모님들의 사랑,왕지방,(주)디에이치미디어,,(주)소나무픽쳐스,2020-05-13,개봉영화,장편,한국,20,"689,000",138,"616,000",123,멜로/로맨스,청소년관람불가,일반영화
335,배달노출2 : 초대남과 좋아죽는 와이프,공자관,밀크픽처스,,밀크픽처스,2020-05-29,개봉영화,장편,한국,20,"653,000",138,"604,000",122,성인물(에로),청소년관람불가,일반영화
336,가자 장미여관으로 4,최우성,컨텐츠레드,,(주)컨텐츠 빌리지,2020-05-28,개봉영화,장편,한국,20,"650,000",138,"604,000",122,멜로/로맨스,청소년관람불가,일반영화
337,구멍 교환,김종석,너바나 필름,,(주)컨텐츠 빌리지,2020-08-27,개봉영화,장편,한국,20,"650,000",138,"603,000",122,멜로/로맨스,청소년관람불가,일반영화
338,나는 야한 여자가 좋다 4,김종석,모히또필름,,(주)컨텐츠 빌리지,2020-07-30,개봉영화,장편,한국,20,"650,000",138,"603,000",122,멜로/로맨스,청소년관람불가,일반영화
339,마누라 공유하기,계장혁,모히또필름,,(주)컨텐츠 빌리지,2020-08-13,개봉영화,장편,한국,20,"650,000",138,"603,000",122,멜로/로맨스,청소년관람불가,일반영화
340,어린 구멍,김종석,모히또필름,,(주)컨텐츠 빌리지,2020-08-13,개봉영화,장편,한국,20,"650,000",138,"603,000",122,멜로/로맨스,청소년관람불가,일반영화
341,가슴 큰 연주,이동준,미라클필름,,케이엘 픽쳐스,2020-06-16,개봉영화,장편,한국,20,"647,000",110,"370,000",66,멜로/로맨스,청소년관람불가,일반영화
342,어린 여동생2,이정석,스마일컨텐츠,,스마일컨텐츠,2020-04-03,개봉영화,장편,한국,20,"645,000",110,"366,000",66,멜로/로맨스,청소년관람불가,일반영화
343,친구누나들,이정석,스마일컨텐츠,,스마일컨텐츠,2020-03-20,개봉영화,장편,한국,20,"639,000",110,"366,000",66,멜로/로맨스,청소년관람불가,일반영화
344,어린과부,한동호,제뉴어리이공 현프로,,제뉴어리이공 현프로,2020-08-11,개봉영화,장편,한국,20,"637,000",110,"363,000",65,멜로/로맨스,청소년관람불가,일반영화
345,예민한 모녀,성운아,(주)픽쳐레스크,,(주)픽쳐레스크,2020-07-28,개봉영화,장편,한국,20,"633,000",110,"363,000",65,멜로/로맨스,청소년관람불가,일반영화
346,피델리티,니기나 사이풀라에바,,주식회사 디에스이이디,주식회사 디에스이이디,2020-04-15,개봉영화,장편,러시아,1,"576,000",64,"576,000",64,드라마,청소년관람불가,독립/예술영화
347,판타스틱 썸머,,,(주)미로스페이스,(주)미로스페이스,2020-06-25,개봉영화,장편,미국,5,"568,540",78,"442,560",62,드라마,15세이상관람가,독립/예술영화
348,슈윙! 블루 노트 레코드 스토리,에릭 프리에들러,,(주)에스와이코마드,(주)에스와이코마드,2020-03-19,개봉영화,장편,독일,2,"556,000",60,"556,000",60,다큐멘터리,12세이상관람가,독립/예술영화
349,대전 블루스,박철웅,"스토리텔러,알리스필름,붐필름,송영철 공작소",,(주)마노엔터테인먼트,2020-04-23,개봉영화,장편,한국,2,"463,000",79,0,0,드라마,15세이상관람가,독립/예술영화
350,배달노출 : 알몸으로 유혹하기,공자관,밀크픽처스,,밀크픽처스,2020-04-17,개봉영화,장편,한국,20,"412,000",81,"304,000",62,성인물(에로),청소년관람불가,일반영화
351,아내의 비밀남자,김석만,(주)로드하우스,,(주)로드하우스,2020-03-18,개봉영화,장편,한국,20,"400,000",79,"302,000",61,멜로/로맨스,청소년관람불가,일반영화
352,아들의 아내2,유서준,(주)로드하우스,,(주)로드하우스,2020-03-27,개봉영화,장편,한국,20,"400,000",79,"302,000",61,코미디,청소년관람불가,일반영화
353,엄마와 딸의 은밀한 밤,윤경식,이야픽쳐스,,(주)로드하우스,2020-04-07,개봉영화,장편,한국,20,"400,000",80,"302,000",61,멜로/로맨스,청소년관람불가,일반영화
354,여직원 사용 설명서,마의성,노바엔터테인먼트,,노바엔터테인먼트,2020-03-25,개봉영화,장편,한국,20,"400,000",79,"302,000",61,,청소년관람불가,일반영화
355,청불학원2,김석만,노바엔터테인먼트,,노바엔터테인먼트,2020-03-27,개봉영화,장편,한국,20,"400,000",79,"302,000",61,,청소년관람불가,일반영화
356,형수의 성교육,김석만,노바엔터테인먼트,,노바엔터테인먼트,2020-03-26,개봉영화,장편,한국,20,"400,000",79,"302,000",61,,청소년관람불가,일반영화
357,엄마와 딸의 은밀한 레슨,김석만,이야픽쳐스,,(주)로드하우스,2020-04-15,개봉영화,장편,한국,20,"395,000",79,"302,000",61,멜로/로맨스,청소년관람불가,일반영화
358,엄마의 남자친구,김석만,(주)로드하우스,,(주)로드하우스,2020-04-01,개봉영화,장편,한국,20,"395,000",79,"302,000",61,멜로/로맨스,청소년관람불가,일반영화
359,죽도 서핑 다이어리,이현승,스튜디오블루(주),,(주)에스와이코마드,2020-05-07,개봉영화,장편,한국,2,"391,000",121,"259,000",97,드라마,12세이상관람가,독립/예술영화
360,그녀와의 스와핑,신효성,(주)케이알씨지,,(주)케이알씨지,2020-05-20,개봉영화,장편,한국,19,"355,000",79,"303,000",62,성인물(에로),청소년관람불가,일반영화
361,가슴 큰 초희,이동준,미라클필름,,케이엘 픽쳐스,2020-05-12,개봉영화,장편,한국,20,"347,000",51,"70,000",6,멜로/로맨스,청소년관람불가,일반영화
362,신천역 3번출구,노현진,오이픽쳐스,,(주)나우콘텐츠,2020-04-02,개봉영화,장편,한국,20,"347,000",51,"66,000",6,멜로/로맨스,청소년관람불가,일반영화
363,아내를 빌려드립니다,노현진,오이픽쳐스,,(주)나우콘텐츠,2020-05-14,개봉영화,장편,한국,20,"347,000",51,"70,000",6,멜로/로맨스,청소년관람불가,일반영화
364,아르코라이브 무용 히트 앤 런,,한국문화예술위원회,,한국문화예술위원회,2020-05-06,개봉영화,장편,한국,6,"343,000",49,"203,000",29,공연,전체관람가,일반영화
365,가슴 큰 가인,이동준,미라클필름,,케이엘 픽쳐스,2020-05-15,개봉영화,장편,한국,20,"342,000",51,"70,000",6,멜로/로맨스,청소년관람불가,일반영화
366,목공소에서 생긴 일,노현진,오이픽쳐스,,(주)나우콘텐츠,2020-03-06,개봉영화,장편,한국,20,"342,000",51,"66,000",6,멜로/로맨스,청소년관람불가,일반영화
367,18금 아이돌 승하의 섹스 스캔들,최진철,케이엘 픽쳐스,,케이엘 픽쳐스,2020-07-21,개봉영화,장편,한국,20,"334,000",51,"65,000",6,멜로/로맨스,청소년관람불가,일반영화
368,18금 아이돌 승하의 화려한 외출,최진철,케이엘 픽쳐스,,케이엘 픽쳐스,2020-07-27,개봉영화,장편,한국,20,"334,000",51,"65,000",6,멜로/로맨스,청소년관람불가,일반영화
369,가슴 큰 가인 - 무삭제판,이동준,미라클필름,,케이엘 픽쳐스,2020-08-19,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
370,가슴 큰 뒷집소녀,이동준,케이엘 픽쳐스,,케이엘 픽쳐스,2020-05-27,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
371,가슴 큰 새 누나,이동준,미라클필름,,케이엘 픽쳐스,2020-04-29,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
372,가슴 큰 새 누나 2,이동준,미라클필름,,케이엘 픽쳐스,2020-05-06,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
373,가슴 큰 앞집 소녀,이동준,미라클필름,,케이엘 픽쳐스,2020-06-03,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
374,가슴 큰 여대생,이동준,케이엘 픽쳐스,,케이엘 픽쳐스,2020-06-30,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
375,가슴 큰 여동생,이동준,케이엘 픽쳐스,,케이엘 픽쳐스,2020-07-02,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
376,가슴 큰 옆집 소녀,이동준,미라클필름,,케이엘 픽쳐스,2020-05-29,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
377,가슴 큰 울 엄마,이동준,미라클필름,,케이엘 픽쳐스,2020-05-06,개봉영화,장편,한국,1,"300,000",60,"300,000",60,멜로/로맨스,청소년관람불가,일반영화
