순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액.1,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
150,남매의 여름밤,윤단비,0,2020-08-20,개봉영화,한국,133,0.10215496,1021549.6,125.07,"12,507","635,754","63,575,360","7,567",드라마,전체관람가,독립/예술영화
151,그레텔과 헨젤,오즈 퍼킨스,0,2020-07-08,개봉영화,북아메리카,325,0.10146454,1014645.4,115.64,"11,564","265,077","26,507,720","2,936",판타지,15세이상관람가,일반영화
152,슈퍼스타 뚜루,,0,2020-06-04,개봉영화,유럽,300,0.10130602,1013060.2,131.46,"13,146","91,592","9,159,220","1,065",뮤지컬,전체관람가,일반영화
153,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,히시다 마사카즈,0,2020-04-02,개봉영화,아시아,55,0.0996675,996675,123.71,"12,371","672,804","67,280,380","8,107",애니메이션,12세이상관람가,일반영화
154,걸후드,셀린 시아마,0,2020-11-12,개봉영화,유럽,175,0.098925,989250,114.09,"11,409","527,465","52,746,500","6,282",드라마,12세이상관람가,독립/예술영화
155,시크릿 가든,마크 먼든,0,2020-08-19,개봉영화,유럽,267,0.09460566,946056.6,112.72,"11,272","402,922","40,292,160","4,553",드라마,전체관람가,독립/예술영화
156,미스터 존스,아그네츠카 홀란드,0,2021-01-07,개봉영화,유럽,277,0.0945954,945954,107.27,"10,727","399,148","39,914,810","4,423",드라마,15세이상관람가,독립/예술영화
157,교실 안의 야크,,0,2020-09-30,개봉영화,기타,30,0.09371621,937162.1,110.59,"11,059","615,056","61,505,580","6,721",드라마,전체관람가,독립/예술영화
158,강철비2 : 정상회담 확장판,양우석,2,2020-09-30,개봉영화,한국,126,0.0899225,899225,183.06,"18,306","283,115","28,311,500","7,243",드라마,15세이상관람가,일반영화
159,안티고네,소피 드라스프,0,2020-11-19,개봉영화,북아메리카,130,0.08883336,888333.6,100.56,"10,056","532,944","53,294,380","6,063",드라마,15세이상관람가,독립/예술영화
160,라스트 풀 메저,토드 로빈슨,0,2020-05-20,개봉영화,북아메리카,333,0.08880718,888071.8,112.23,"11,223","278,524","27,852,360","3,532",드라마,15세이상관람가,독립/예술영화
161,워터 릴리스,셀린 시아마,0,2020-08-13,개봉영화,유럽,89,0.087352532,873525.32,101.05,"10,105","538,480","53,848,032","6,028",드라마,15세이상관람가,독립/예술영화
162,너와 파도를 탈 수 있다면,유아사 마사아키,1,2020-07-08,개봉영화,아시아,257,0.08714598,871459.8,100.75,"10,075","371,207","37,120,700","4,083",애니메이션,12세이상관람가,독립/예술영화
163,도망친 여자,홍상수,0,2020-09-17,개봉영화,한국,143,0.08655824,865582.4,102.82,"10,282","588,169","58,816,890","6,750",드라마,청소년관람불가,독립/예술영화
164,테스와 보낸 여름,스티븐 바우터루드,0,2020-09-10,개봉영화,유럽,194,0.08442125,844212.5,94.59,"9,459","467,264","46,726,440","5,009",드라마,전체관람가,독립/예술영화
165,잔칫날,김록경,0,2020-12-02,개봉영화,한국,240,0.08322106,832210.6,108.06,"10,806","311,819","31,181,890","4,166",드라마,12세이상관람가,독립/예술영화
166,나는보리,김진유,0,2020-05-21,개봉영화,한국,158,0.08285336,828533.6,114.97,"11,497","473,444","47,344,440","6,280",가족,전체관람가,독립/예술영화
167,썸머 85,프랑수아 오종,0,2020-12-24,개봉영화,기타,126,0.08182249,818224.9,93.18,"9,318","497,326","49,732,590","5,406",멜로/로맨스,15세이상관람가,독립/예술영화
168,루팡 3세: 더 퍼스트,야마자키 타카시,2,2020-05-21,개봉영화,아시아,132,0.0800535,800535,108.59,"10,859","295,045","29,504,500","4,898",애니메이션,전체관람가,일반영화
169,요가학원 : 죽음의 쿤달리니,"전재홍,김지한",0,2020-11-18,개봉영화,한국,267,0.07997314,799731.4,91.28,"9,128","245,441","24,544,080","2,721",공포(호러),청소년관람불가,일반영화
170,소년 아메드,"장 피에르 다르덴,뤽 다르덴",0,2020-07-30,개봉영화,유럽,82,0.078064187,780641.87,98.05,"9,805","541,502","54,150,227","6,477",드라마,12세이상관람가,독립/예술영화
171,지저귀는 새는 날지 않는다,마키타 카오리,0,2020-07-16,개봉영화,아시아,81,0.077445,774450,86.39,"8,639","486,676","48,667,560","5,356",애니메이션,청소년관람불가,독립/예술영화
172,씨 피버,니사 하디만,0,2020-05-13,개봉영화,유럽,278,0.07721446,772144.6,89.15,"8,915","213,610","21,360,980","2,433",SF,15세이상관람가,독립/예술영화
173,나는 나를 해고하지 않는다,이태겸,0,2021-01-28,개봉영화,한국,313,0.07630326,763032.6,96.6,"9,660","357,480","35,748,040","4,539",드라마,12세이상관람가,독립/예술영화
174,레옹 디 오리지널,뤽 베송,0,2020-06-11,개봉영화,유럽,130,0.0761309,761309,124.03,"12,403","391,905","39,190,480","6,359",액션,청소년관람불가,일반영화
175,토이 솔져스: 가짜사나이2 더 컴플리트,오윤동,2,2021-01-27,개봉영화,한국,155,0.0753263,753263,79.91,"7,991","206,925","20,692,500","2,126",다큐멘터리,15세이상관람가,일반영화
176,완벽한 가족,로저 미첼,0,2021-01-06,개봉영화,북아메리카,318,0.07526846,752684.6,86.59,"8,659","257,926","25,792,630","2,828",드라마,15세이상관람가,독립/예술영화
177,마이 리틀 포니: 레인보우 로드 트립,,0,2020-10-29,개봉영화,북아메리카,226,0.07510974,751097.4,94.98,"9,498","139,286","13,928,600","1,570",애니메이션,전체관람가,일반영화
178,남매의 여름밤,윤단비,0,2020-08-20,개봉영화,한국,133,0.074408642,744086.42,87.04,"8,704","531,927","53,192,682","5,916",드라마,전체관람가,독립/예술영화
179,트로이 디렉터스 컷,볼프강 페터젠,0,2020-07-03,개봉영화,북아메리카,159,0.07346606,734660.6,86.75,"8,675","457,093","45,709,340","5,318",전쟁,청소년관람불가,일반영화
180,세인트 주디,,0,2020-07-29,개봉영화,북아메리카,151,0.07212736,721273.6,87.32,"8,732","445,157","44,515,660","5,172",드라마,12세이상관람가,독립/예술영화
181,카일라스 가는 길,정형민,0,2020-09-03,개봉영화,한국,47,0.07129054,712905.4,93.89,"9,389","335,243","33,524,330","4,203",다큐멘터리,전체관람가,독립/예술영화
182,피아니스트의 마지막 인터뷰,클로드 라롱드,0,2020-11-19,개봉영화,북아메리카,55,0.07049916,704991.6,84.18,"8,418","439,851","43,985,070","5,012",드라마,전체관람가,독립/예술영화
183,슈퍼 레이스,,0,2020-07-23,개봉영화,북아메리카,209,0.07034818,703481.8,90.43,"9,043","100,297","10,029,700","1,189",애니메이션,전체관람가,독립/예술영화
184,딥워터,요아힘 헤덴,0,2020-07-09,개봉영화,기타,264,0.07012026,701202.6,81.39,"8,139","230,716","23,071,560","2,586",액션,12세이상관람가,독립/예술영화
185,조조 래빗,타이카 와이티티,2,2020-02-05,개봉영화,북아메리카,277,0.07005404,700540.4,77.57,"7,757","502,606","50,260,560","5,484",코미디,12세이상관람가,독립/예술영화
186,"아무튼, 아담",,0,2020-07-02,개봉영화,북아메리카,110,0.0699435,699435,101.67,"10,167","281,240","28,124,000","4,051",드라마,15세이상관람가,독립/예술영화
187,하이큐!! 또 다른 도전,미츠나카 스스무,0,2020-05-14,개봉영화,아시아,142,0.0694559,694559,84.64,"8,464","164,215","16,421,500","1,832",애니메이션,12세이상관람가,일반영화
188,부니베어: 원시시대 대모험,정량,0,2020-10-22,개봉영화,아시아,216,0.0691467,691467,89.18,"8,918","62,412","6,241,200",720,애니메이션,전체관람가,독립/예술영화
189,작은 소망,전우성,0,2020-08-13,개봉영화,아시아,151,0.066448,664480,79.11,"7,911","217,505","21,750,500","2,583",코미디,12세이상관람가,독립/예술영화
190,고스트 오브 워,에릭 브레스,0,2020-09-02,개봉영화,유럽,228,0.06408996,640899.6,75.31,"7,531","204,120","20,411,970","2,350",미스터리,15세이상관람가,독립/예술영화
191,타오르는 여인의 초상,셀린 시아마,0,2020-01-16,개봉영화,유럽,120,0.06143518,614351.8,68.76,"6,876","488,698","48,869,780","5,336",드라마,15세이상관람가,독립/예술영화
192,종이꽃,고훈,0,2020-10-22,개봉영화,한국,256,0.06138831,613883.1,73.23,"7,323","231,653","23,165,270","2,624",드라마,12세이상관람가,독립/예술영화
193,미드나이트 스카이,조지 클루니,1,2020-12-09,개봉영화,북아메리카,257,0.06117716,611771.6,71.01,"7,101","251,462","25,146,210","2,891",드라마,12세이상관람가,독립/예술영화
194,신과 나: 100일간의 거래,팍품 웡품,0,2020-04-08,개봉영화,기타,240,0.0606271,606271,72.21,"7,221","244,573","24,457,320","2,856",미스터리,15세이상관람가,일반영화
195,이누야시키 : 히어로 VS 빌런,사토 신스케,0,2020-04-22,개봉영화,아시아,185,0.06041432,604143.2,75.09,"7,509","283,011","28,301,080","3,392",SF,15세이상관람가,독립/예술영화
196,더 렌탈 : 소리없는 감시자,데이브 프랑코,0,2020-09-16,개봉영화,북아메리카,245,0.06029428,602942.8,74.76,"7,476","193,060","19,305,990","2,363",공포(호러),15세이상관람가,일반영화
197,마이 미씽 발렌타인,진옥훈,0,2021-01-14,개봉영화,기타,153,0.05994807,599480.7,77.96,"7,796","255,959","25,595,930","3,370",멜로/로맨스,12세이상관람가,독립/예술영화
198,북스마트,올리비아 와일드,0,2021-01-27,개봉영화,북아메리카,163,0.0585619,585619,94.35,"9,435","291,029","29,102,900","5,756",코미디,15세이상관람가,독립/예술영화
199,남과 여: 여전히 찬란한,끌로드 를르슈,0,2020-10-15,개봉영화,유럽,69,0.0579639,579639,68.96,"6,896","379,492","37,949,200","4,320",드라마,15세이상관람가,독립/예술영화
200,엘라 벨라 빙고: 친구 찾기 대작전,"아틀 솔버그 블락세트,프랭크 모스볼드",0,2020-08-12,개봉영화,유럽,180,0.05732638,573263.8,72.74,"7,274","61,334","6,133,400",737,애니메이션,전체관람가,일반영화
201,69세,임선애,0,2020-08-20,개봉영화,한국,105,0.05709069,570906.9,69.41,"6,941","377,648","37,764,820","4,434",드라마,15세이상관람가,독립/예술영화
202,운디네,크리스티안 펫졸드,0,2020-12-24,개봉영화,유럽,42,0.05611902,561190.2,65.38,"6,538","372,569","37,256,850","4,109",드라마,12세이상관람가,독립/예술영화
203,환상의 마로나,안카 다미안,0,2020-06-11,개봉영화,유럽,48,0.05583596,558359.6,58.92,"5,892","466,097","46,609,720","4,670",애니메이션,전체관람가,독립/예술영화
204,"내 어깨 위 고양이, 밥 2",찰스 마틴 스미스,0,2020-12-24,개봉영화,유럽,202,0.05530619,553061.9,63.78,"6,378","237,924","23,792,370","2,638",가족,전체관람가,일반영화
205,클로젯,김광빈,2,2020-02-05,개봉영화,한국,1197,0.05342434,534243.4,58.92,"5,892","319,170","31,917,020","3,366",미스터리,15세이상관람가,일반영화
206,그리고 우린 춤을 추었다,레반 아킨,0,2020-11-25,개봉영화,유럽,79,0.05340581,534058.1,60.62,"6,062","379,578","37,957,840","4,088",드라마,15세이상관람가,독립/예술영화
207,인비저블 라이프,카림 아이노우즈,0,2020-06-24,개봉영화,기타,49,0.05154347,515434.7,63.52,"6,352","329,429","32,942,890","3,941",드라마,청소년관람불가,독립/예술영화
208,마르지엘라,라이너 홀제메르,0,2020-09-30,개봉영화,기타,31,0.05136817,513681.7,56.37,"5,637","438,722","43,872,200","4,712",다큐멘터리,전체관람가,독립/예술영화
209,파힘,피에르 프랑소와 마틴 라발,0,2021-01-21,개봉영화,유럽,165,0.0503667,503667,65.47,"6,547","202,006","20,200,600","2,528",드라마,전체관람가,독립/예술영화
210,나이스 걸 라이크 유,,0,2020-11-18,개봉영화,북아메리카,149,0.0480682,480682,57.2,"5,720","248,078","24,807,800","3,035",코미디,청소년관람불가,일반영화
211,아디오스,파코 카베자스,0,2020-07-22,개봉영화,유럽,150,0.04802922,480292.2,65.26,"6,526","181,461","18,146,060","2,562",액션,청소년관람불가,독립/예술영화
212,루키스,원금린,0,2020-05-20,개봉영화,아시아,277,0.04780508,478050.8,57.61,"5,761","135,878","13,587,800","1,598",액션,15세이상관람가,일반영화
213,"조금씩, 천천히 안녕",나카노 료타,0,2020-05-27,개봉영화,아시아,166,0.04778132,477813.2,59.6,"5,960","300,706","30,070,560","3,738",가족,전체관람가,독립/예술영화
214,작가 미상,플로리안 헨켈 폰 도너스마르크,0,2020-02-20,개봉영화,유럽,55,0.04777298,477729.8,56.32,"5,632","365,907","36,590,720","4,200",드라마,청소년관람불가,독립/예술영화
215,헌트,크레이그 조벨,1,2020-04-23,개봉영화,북아메리카,30,0.04753524,475352.4,64.15,"6,415","336,326","33,632,640","4,708",액션,청소년관람불가,일반영화
216,뮤지컬 브로드웨이 42번가,마크 브램블,0,2020-07-08,개봉영화,북아메리카,48,0.047531,475310,26.44,"2,644","182,405","18,240,500","1,014",뮤지컬,전체관람가,일반영화
217,부력,로드 라스젠,0,2020-06-25,개봉영화,호주,90,0.04609466,460946.6,55.23,"5,523","307,993","30,799,340","3,462",드라마,15세이상관람가,독립/예술영화
218,걸즈 앤 판처 최종장,미즈시마 츠토무,0,2020-03-12,개봉영화,아시아,11,0.04605,460500,48.5,"4,850","326,510","32,651,000","3,360",애니메이션,12세이상관람가,일반영화
219,사랑이 뭘까,이마이즈미 리키야,0,2020-04-09,개봉영화,아시아,132,0.04502048,450204.8,50.45,"5,045","318,998","31,899,820","3,495",멜로/로맨스,15세이상관람가,독립/예술영화
220,온다,나카시마 테츠야,0,2020-03-26,개봉영화,아시아,163,0.04490484,449048.4,54.56,"5,456","256,887","25,688,740","3,080",공포(호러),15세이상관람가,독립/예술영화
221,비독: 파리의 황제,장-프랑소와 리셰,0,2020-09-17,개봉영화,유럽,182,0.04466166,446616.6,51.2,"5,120","220,546","22,054,610","2,395",액션,15세이상관람가,독립/예술영화
222,젊은이의 양지,신수원,0,2020-10-28,개봉영화,한국,108,0.04408277,440827.7,51.99,"5,199","287,391","28,739,100","3,315",드라마,15세이상관람가,독립/예술영화
223,걸,,0,2021-01-07,개봉영화,유럽,239,0.04405351,440535.1,48.53,"4,853","216,466","21,646,570","2,248",드라마,15세이상관람가,독립/예술영화
224,그링고,내쉬 에드게톤,0,2020-03-05,개봉영화,북아메리카,45,0.0431895,431895,78.16,"7,816","379,410","37,941,000","7,188",액션,15세이상관람가,독립/예술영화
225,1942: 언노운 배틀,,0,2020-07-29,개봉영화,유럽,121,0.0430251,430251,53.99,"5,399","188,970","18,896,960","2,354",전쟁,15세이상관람가,일반영화
226,불량한 가족,장재일,0,2020-07-09,개봉영화,한국,161,0.04151994,415199.4,48.72,"4,872","174,104","17,410,360","1,889",코미디,12세이상관람가,독립/예술영화
227,공포분자,에드워드 양,0,2020-09-17,개봉영화,기타,52,0.04116663,411666.3,52.18,"5,218","272,005","27,200,450","3,330",드라마,15세이상관람가,독립/예술영화
228,에브리타임 아이 다이,로비 마이클,0,2020-10-21,개봉영화,북아메리카,140,0.04098297,409829.7,49.6,"4,960","215,468","21,546,770","2,484",미스터리,15세이상관람가,독립/예술영화
229,렛 힘 고,토마스 베주차,1,2020-11-05,개봉영화,북아메리카,47,0.040874,408740,58,"5,800","237,925","23,792,500","3,457",범죄,15세이상관람가,독립/예술영화
230,봉쇄수도원 카르투시오,김동일,0,2020-11-19,개봉영화,한국,125,0.04059118,405911.8,47.77,"4,777","185,464","18,546,360","2,111",다큐멘터리,전체관람가,독립/예술영화
231,리벤지,코랄리 파르쟈,0,2020-05-06,개봉영화,유럽,143,0.0402843,402843,48.14,"4,814","132,245","13,224,520","1,552",액션,청소년관람불가,독립/예술영화
232,에이브의 쿠킹 다이어리,,0,2020-06-24,개봉영화,브라질,56,0.03999306,399930.6,52.13,"5,213","335,691","33,569,100","4,365",드라마,전체관람가,독립/예술영화
233,아무도 없다,존 하이암스,0,2020-09-09,개봉영화,북아메리카,122,0.03890145,389014.5,44.78,"4,478","131,577","13,157,650","1,556",스릴러,15세이상관람가,독립/예술영화
234,극장판 시로바코,미즈시마 츠토무,0,2020-08-20,개봉영화,아시아,64,0.03884961,388496.1,44.64,"4,464","163,391","16,339,110","1,829",애니메이션,12세이상관람가,일반영화
235,팔로우 미,,0,2020-10-22,개봉영화,북아메리카,138,0.0387753,387753,47.15,"4,715","151,435","15,143,500","1,809",스릴러,15세이상관람가,일반영화
236,이장,정승오,0,2020-03-25,개봉영화,한국,82,0.03773704,377370.4,46.7,"4,670","216,289","21,628,940","2,426",드라마,12세이상관람가,독립/예술영화
237,트랜짓,크리스티안 펫졸드,0,2020-07-02,개봉영화,유럽,42,0.03768666,376866.6,44.29,"4,429","308,965","30,896,480","3,517",드라마,12세이상관람가,독립/예술영화
238,지니어스 독,길 정거,0,2020-09-16,개봉영화,북아메리카,142,0.0374634,374634,48.28,"4,828","134,037","13,403,700","1,838",코미디,12세이상관람가,일반영화
239,다시 만난 날들,심찬양,0,2020-09-24,개봉영화,한국,105,0.03724578,372457.8,41.76,"4,176","219,554","21,955,430","2,284",뮤지컬,12세이상관람가,독립/예술영화
240,베이비티스,,0,2020-10-22,개봉영화,호주,57,0.03658313,365831.3,43.29,"4,329","262,997","26,299,730","3,014",코미디,15세이상관람가,독립/예술영화
241,페뷸러스,멜라니 샤르본느,0,2020-11-05,개봉영화,북아메리카,71,0.03657228,365722.8,41.09,"4,109","255,679","25,567,870","2,876",코미디,15세이상관람가,독립/예술영화
242,트롤 킹,케빈 먼로,0,2020-10-07,개봉영화,기타,190,0.03652001,365200.1,47.28,"4,728","56,559","5,655,900",662,애니메이션,전체관람가,일반영화
243,에베레스트,이인항,0,2020-07-22,개봉영화,아시아,142,0.03641964,364196.4,43.56,"4,356","159,198","15,919,800","1,863",액션,15세이상관람가,일반영화
244,프록시마 프로젝트,앨리스 위노코,0,2020-10-15,개봉영화,유럽,86,0.03632975,363297.5,41.85,"4,185","256,249","25,624,880","2,845",드라마,12세이상관람가,독립/예술영화
245,극장판 기븐,야마구치 히카루,0,2020-11-26,개봉영화,아시아,103,0.03619477,361947.7,41.27,"4,127","154,665","15,466,460","1,651",애니메이션,15세이상관람가,일반영화
246,맹크,데이빗 핀처,1,2020-11-18,개봉영화,북아메리카,100,0.03606356,360635.6,40.36,"4,036","249,349","24,934,870","2,735",드라마,15세이상관람가,독립/예술영화
247,들리나요?,"김봉한,신승환",0,2020-06-10,개봉영화,한국,103,0.03591114,359111.4,35.98,"3,598","151,875","15,187,480","1,570",다큐멘터리,전체관람가,독립/예술영화
248,트라이얼 오브 더 시카고 7,아론 소킨,1,2020-10-07,개봉영화,북아메리카,103,0.03589373,358937.3,44.12,"4,412","199,150","19,914,960","2,338",드라마,15세이상관람가,독립/예술영화
249,슈팅걸스,배효민,0,2020-05-06,개봉영화,한국,207,0.03582306,358230.6,45.87,"4,587","77,147","7,714,740",913,드라마,12세이상관람가,독립/예술영화
250,와일드 시티,론 스캘펠로,0,2020-06-17,개봉영화,유럽,111,0.03531018,353101.8,41.68,"4,168","155,174","15,517,380","1,885",액션,청소년관람불가,독립/예술영화
251,부다페스트 스토리,아틸라 사스,0,2020-08-13,개봉영화,유럽,33,0.03466149,346614.9,41.81,"4,181","203,152","20,315,160","2,365",스릴러,15세이상관람가,독립/예술영화
252,미스터 보스,김형기,0,2020-12-30,개봉영화,한국,226,0.03451664,345166.4,42.67,"4,267","82,855","8,285,480","1,031",드라마,15세이상관람가,일반영화
253,럭키 몬스터,봉준영,0,2020-12-03,개봉영화,한국,101,0.03450558,345055.8,46.26,"4,626","173,520","17,351,980","2,255",드라마,청소년관람불가,독립/예술영화
254,고 피쉬!,숀 패트릭 오렐리,0,2020-07-23,개봉영화,북아메리카,138,0.03395278,339527.8,43.38,"4,338","48,776","4,877,640",597,애니메이션,전체관람가,일반영화
255,지옥의 묵시록 파이널 컷,프란시스 포드 코폴라,0,2020-11-26,개봉영화,북아메리카,64,0.03394363,339436.3,36.63,"3,663","201,062","20,106,200","2,104",전쟁,청소년관람불가,독립/예술영화
256,담쟁이,한제이,0,2020-10-28,개봉영화,한국,93,0.03370513,337051.3,42.58,"4,258","194,352","19,435,220","2,347",가족,15세이상관람가,독립/예술영화
257,퍼스트 러브,미이케 다카시,0,2020-12-17,개봉영화,아시아,79,0.0336305,336305,38.73,"3,873","191,310","19,130,950","2,121",범죄,청소년관람불가,독립/예술영화
258,죽이는 여자,애슐리 해밀턴,0,2020-08-23,개봉영화,북아메리카,1,0.0335,335000,65.72,"6,572","6,200","620,000",572,공포(호러),청소년관람불가,일반영화
259,무협: 더 코드,조니 우,0,2020-06-22,개봉영화,북아메리카,1,0.03348804,334880.4,65.49,"6,549","5,990","599,000",551,액션,15세이상관람가,일반영화
260,안녕까지 30분,,0,2020-10-14,개봉영화,아시아,115,0.0334478,334478,43.05,"4,305","186,225","18,622,500","2,432",판타지,12세이상관람가,독립/예술영화
261,레미: 집 없는 아이,앙트완 블로시에르,0,2020-05-28,개봉영화,유럽,168,0.03324238,332423.8,41.6,"4,160","149,166","14,916,560","1,875",가족,전체관람가,독립/예술영화
262,빛의 아버지: 파이널 판타지 XIV,"노구치 테루오,야마모토 키요시",0,2021-01-14,개봉영화,아시아,98,0.0331512,331512,35.41,"3,541","144,691","14,469,100","1,543",드라마,전체관람가,독립/예술영화
263,부산행:익스텐디드,연상호,2,2020-07-01,개봉영화,한국,88,0.0328085,328085,41.17,"4,117","137,635","13,763,500","1,715",액션,15세이상관람가,일반영화
264,모추어리 컬렉션,,0,2021-01-21,개봉영화,북아메리카,115,0.0322418,322418,37.67,"3,767","121,627","12,162,700","1,425",판타지,청소년관람불가,독립/예술영화
265,매지컬: 공주를 웃겨라,정윤철,0,2020-09-17,개봉영화,한국,220,0.03180967,318096.7,40.77,"4,077","53,531","5,353,060",642,애니메이션,전체관람가,일반영화
266,보테로,돈 밀러,0,2020-09-24,개봉영화,북아메리카,34,0.03130184,313018.4,38.05,"3,805","215,370","21,537,040","2,406",다큐멘터리,전체관람가,독립/예술영화
267,카메론 포스트의 잘못된 교육,데지레 아카반,0,2020-06-04,개봉영화,북아메리카,108,0.03120802,312080.2,35.41,"3,541","183,536","18,353,580","2,063",드라마,15세이상관람가,독립/예술영화
268,로그,M.J. 버세트,0,2020-11-25,개봉영화,북아메리카,180,0.03120314,312031.4,40.12,"4,012","126,136","12,613,560","1,571",액션,15세이상관람가,일반영화
269,주식회사 스페셜액터스,우에다 신이치로,0,2020-08-06,개봉영화,아시아,43,0.03103344,310334.4,36.06,"3,606","220,114","22,011,440","2,396",코미디,전체관람가,독립/예술영화
270,누군가 어디에서 나를 기다리면 좋겠다,아르노 비야르,0,2020-12-17,개봉영화,유럽,54,0.03100355,310035.5,40.72,"4,072","217,267","21,726,680","2,731",드라마,15세이상관람가,독립/예술영화
271,힐빌리의 노래,론 하워드,1,2020-11-11,개봉영화,북아메리카,84,0.03068278,306827.8,36.46,"3,646","178,455","17,845,500","2,071",드라마,청소년관람불가,독립/예술영화
272,어서오시게스트하우스,심요한,0,2020-08-13,개봉영화,한국,58,0.03066567,306656.7,34.68,"3,468","213,100","21,310,000","2,323",드라마,15세이상관람가,독립/예술영화
273,해피 디 데이,켄 마리노,0,2020-07-01,개봉영화,북아메리카,153,0.0304938,304938,36.94,"3,694","120,782","12,078,220","1,441",코미디,전체관람가,독립/예술영화
274,용길이네 곱창집,정의신,0,2020-03-12,개봉영화,아시아,93,0.03046316,304631.6,37.53,"3,753","147,695","14,769,500","1,846",드라마,15세이상관람가,독립/예술영화
275,스웨그,임성관,0,2020-12-10,개봉영화,한국,118,0.03030066,303006.6,32.14,"3,214","189,715","18,971,540","1,998",드라마,15세이상관람가,독립/예술영화
276,카오산 탱고,김범삼,0,2020-07-30,개봉영화,한국,45,0.03016686,301668.6,37.17,"3,717","219,055","21,905,460","2,474",드라마,12세이상관람가,독립/예술영화
277,나이브스 아웃,라이언 존슨,0,2019-12-04,개봉영화,북아메리카,686,0.03007774,300777.4,50.81,"5,081","136,820","13,681,960","2,319",미스터리,12세이상관람가,일반영화
278,헌티드 파크,타카하시 히로시,0,2020-05-06,개봉영화,아시아,143,0.03004736,300473.6,34.67,"3,467","74,084","7,408,400",823,공포(호러),15세이상관람가,독립/예술영화
279,썸원 썸웨어,세드릭 클라피쉬,0,2020-04-29,개봉영화,유럽,37,0.02992064,299206.4,35.89,"3,589","215,013","21,501,280","2,469",멜로/로맨스,12세이상관람가,독립/예술영화
280,증발,김성민,0,2020-11-12,개봉영화,한국,35,0.0286723,286723,39.22,"3,922","173,901","17,390,100","2,154",다큐멘터리,전체관람가,독립/예술영화
281,시라이,,0,2020-07-15,개봉영화,아시아,70,0.02857162,285716.2,33.05,"3,305","45,063","4,506,280",498,공포(호러),15세이상관람가,독립/예술영화
282,비행,조성빈,0,2020-03-19,개봉영화,한국,128,0.02844144,284414.4,33.26,"3,326","166,862","16,686,200","1,881",드라마,15세이상관람가,독립/예술영화
283,마샤와 곰: 최고 중에 최고,,0,2020-10-08,개봉영화,유럽,158,0.0283945,283945,35.25,"3,525","43,643","4,364,300",513,애니메이션,전체관람가,일반영화
284,맨슨 패밀리,앤드류 존스,0,2020-06-15,개봉영화,유럽,1,0.02798,279800,55.32,"5,532","170,200","17,020,000","3,532",공포(호러),15세이상관람가,일반영화
285,호프,마리아 소달,0,2020-12-17,개봉영화,기타,171,0.02772201,277220.1,33.12,"3,312","108,693","10,869,270","1,257",드라마,12세이상관람가,독립/예술영화
286,수퍼 소닉,제프 파울러,2,2020-02-12,개봉영화,북아메리카,609,0.02742382,274238.2,34.28,"3,428","123,642","12,364,200","1,469",애니메이션,전체관람가,일반영화
287,루브르박물관 기획특별전,,2,2020-09-16,개봉영화,유럽,22,0.027408,274080,21.1,"2,110","136,465","13,646,500","1,050",다큐멘터리,전체관람가,일반영화
288,모리의 정원,오키타 슈이치,0,2020-03-26,개봉영화,아시아,66,0.02721572,272157.2,32.45,"3,245","169,803","16,980,280","1,918",드라마,전체관람가,독립/예술영화
289,메탈리카와 샌프란시스코 심포니,,2,2020-05-20,개봉영화,북아메리카,41,0.027194,271940,15.34,"1,534","116,060","11,606,000",653,공연,12세이상관람가,일반영화
290,강철비2: 정상회담,양우석,2,2020-07-29,개봉영화,한국,2137,0.0271594,271594,102.94,"10,294","232,752","23,275,200","9,807",드라마,15세이상관람가,일반영화
291,리암 갤러거,"찰리 라이트닝,게빈 피츠제럴드",0,2020-03-12,개봉영화,유럽,54,0.0271158,271158,27.43,"2,743","194,875","19,487,500","1,837",다큐멘터리,15세이상관람가,독립/예술영화
292,소년시절의 너,증국상,0,2020-07-09,개봉영화,아시아,252,0.0267478,267478,39.85,"3,985","124,585","12,458,500","1,790",멜로/로맨스,15세이상관람가,독립/예술영화
293,가을의 마티네,니시타니 히로시,0,2020-12-31,개봉영화,아시아,19,0.02649237,264923.7,40.03,"4,003","177,013","17,701,340","2,558",멜로/로맨스,12세이상관람가,독립/예술영화
294,맛있는 녀석들,순 하이펑,0,2020-07-16,개봉영화,아시아,152,0.02604504,260450.4,32.74,"3,274","38,499","3,849,900",462,애니메이션,전체관람가,독립/예술영화
295,레벨 16,,0,2020-12-10,개봉영화,북아메리카,137,0.0259283,259283,28.56,"2,856","100,583","10,058,250","1,066",스릴러,15세이상관람가,독립/예술영화
296,태양의 소녀들,에바 허슨,0,2020-10-22,개봉영화,유럽,103,0.02558097,255809.7,29.71,"2,971","137,424","13,742,370","1,501",드라마,15세이상관람가,독립/예술영화
297,공수도,채여준,0,2020-04-09,개봉영화,한국,79,0.0250895,250895,29.5,"2,950","75,245","7,524,500",930,액션,15세이상관람가,일반영화
298,포드 V 페라리,제임스 맨골드,2,2019-12-04,개봉영화,북아메리카,986,0.02446816,244681.6,26.55,"2,655","88,527","8,852,740","1,048",액션,12세이상관람가,일반영화
