■ 개봉일람_월별,,,,,,,,,,,,,,,,,
- 조회일: 2021-03-18,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020~2021   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1,담보,강대규,"(주)제이케이필름,(주)레드로버,씨제이이앤엠(주),(주)영화사연",,씨제이이앤엠(주),2020-09-29,개봉영화,장편,한국,"1,342","14,750,480,550","1,719,777","2,689,581,450","305,921",드라마,12세이상관람가,일반영화
2,삼진그룹 영어토익반,이종필,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-21,개봉영화,장편,한국,"1,616","13,986,138,870","1,571,820","3,946,153,940","444,282",드라마,12세이상관람가,일반영화
3,도굴,박정배,(주)싸이런픽쳐스,,씨제이이앤엠(주),2020-11-04,개봉영화,장편,한국,"1,635","13,947,664,670","1,543,775","3,235,832,320","355,865",범죄,12세이상관람가,일반영화
4,테넷,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-08-26,개봉영화,장편,미국,"2,228","11,962,885,850","1,284,073","4,596,473,470","464,556",액션,12세이상관람가,일반영화
5,소울,피트 닥터,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-01-20,개봉영화,장편,미국,"2,018","7,936,332,910","875,001","2,578,880,980","275,009",애니메이션,전체관람가,일반영화
6,원더 우먼 1984,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-12-23,개봉영화,장편,미국,"2,260","4,935,655,460","546,550","1,457,693,500","154,656",액션,12세이상관람가,일반영화
7,국제수사,김봉한,(주)영화사장춘,,(주)쇼박스,2020-09-29,개봉영화,장편,한국,"1,074","4,496,549,760","537,470","868,003,360","103,185",코미디,15세이상관람가,일반영화
8,이웃사촌,이환경,"(주)시네마허브,환타지엔터테인먼트",,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020-11-25,개봉영화,장편,한국,"1,363","3,708,223,750","431,382","775,803,000","91,262",드라마,12세이상관람가,일반영화
9,소리도 없이,홍의정,"(주)루이스 픽쳐스,(주)브로콜리픽쳐스",,(주)에이스메이커무비웍스,2020-10-15,개봉영화,장편,한국,"1,084","3,558,622,900","403,432","843,075,990","93,396",범죄,15세이상관람가,일반영화
